plant	time	x	y	r_ag	h_ag	r_bg	h_bg	growth	ag_resources	bg_resources	salinity
Initial_000000001	10368000.0	3.85621159906146	8.598933646485218	1.4716452591750067	1.4716452591750067	1.4726452591750068	1.5176452591750067	0.3401328146953988	0.5668880244923313	0.9537254608112625	NaN
Initial_000000002	10368000.0	21.27185288111787	1.2930695209475718	1.435259612623896	1.435259612623896	1.436259612623896	1.481259612623896	0.2862113209329418	0.47701886822156975	0.7447377654265855	NaN
Initial_000000003	10368000.0	36.26937281241047	0.362379220499216	1.3594420630025785	1.3594420630025785	1.3604420630025786	1.4054420630025786	0.3388605157506447	0.6490848201397309	0.5647675262510745	NaN
Initial_000000005	10368000.0	29.190773659449714	1.5872888856366518	1.165538053898714	1.165538053898714	1.166538053898714	1.211538053898714	0.024178282873124388	0.04029713812187398	0.6497107160866035	NaN
Initial_000000006	10368000.0	28.90001836406905	2.125216495548401	1.4736995041701355	1.4736995041701355	1.4746995041701356	1.5196995041701356	0.3919198677787028	0.7093994232763328	0.6531997796311714	NaN
Initial_000000007	10368000.0	45.683095008214394	8.52435666577039	1.0883268637634258	1.0883268637634258	1.089326863763426	1.1343268637634258	0.2710817159408564	0.49823121767101414	0.4518028599014273	NaN
Initial_000000009	10368000.0	21.984324917574394	0.4824472224839571	1.4311260496123317	1.4311260496123317	1.4321260496123316	1.4771260496123315	0.3511792594698937	0.5852987657831562	0.7361881009891073	NaN
Initial_000000011	10368000.0	38.41196069660732	6.215688235838598	1.2977355319377095	1.2977355319377095	1.2987355319377096	1.3437355319377096	0.3234338829844273	0.8632929214763225	0.5390564716407122	NaN
Initial_000000012	10368000.0	29.996749799732402	2.814513603994583	1.3584505938517426	1.3584505938517426	1.3594505938517427	1.4044505938517426	0.01749916453641536	0.029165274227358935	0.6400390024032112	NaN
Initial_000000013	10368000.0	21.069753614824887	4.468916533642534	1.3602258432875443	1.3602258432875443	1.3612258432875441	1.406225843287544	0.05708725581068436	0.09514542635114061	0.7471629566221014	NaN
Initial_000000014	10368000.0	24.042792508951617	2.7005585714712788	1.4855146288916712	1.4855146288916712	1.486514628891671	1.5315146288916712	0.4268918939355483	0.8136415267836216	0.7114864898925806	NaN
Initial_000000015	10368000.0	11.05779583247406	3.0416985261189344	1.4003815290089872	1.4003815290089872	1.401381529008987	1.4463815290089872	0.46527422136552704	0.7754570356092118	0.8673064500103113	NaN
Initial_000000016	10368000.0	12.064970154771382	3.5771914789507733	1.2948594343812667	1.2948594343812667	1.2958594343812666	1.340859434381267	0.06938009254970036	0.11563348758283393	0.8552203581427434	NaN
Initial_000000017	10368000.0	8.87496749230776	8.699862056580422	1.4782300092250065	1.4782300092250065	1.4792300092250066	1.5242300092250065	0.5233240864847912	0.8722068108079853	0.8935003900923069	NaN
Initial_000000021	10368000.0	20.836696239886642	9.838043365938933	1.4664213079866524	1.4664213079866524	1.4674213079866525	1.5124213079866524	0.2629120290748613	0.4381867151247688	0.7499596451213604	NaN
Initial_000000023	10368000.0	35.947077287644376	6.3866903059768285	1.3687241741158422	1.3687241741158422	1.3697241741158424	1.4147241741158423	0.3411810435289605	0.8704827426274495	0.5686350725482675	NaN
Initial_000000024	10368000.0	16.128213368326143	4.222551766925138	1.4112258752685902	1.4112258752685902	1.4122258752685901	1.45722587526859	0.3792065401105202	0.6320109001842004	0.8064614395800863	NaN
Initial_000000025	10368000.0	27.933948564736482	7.025142950950495	1.3640262762669588	1.3640262762669588	1.3650262762669587	1.4100262762669586	0.07219693908031839	0.12032823180053065	0.6647926172231622	NaN
Initial_000000026	10368000.0	29.111727091471902	9.166569495623376	1.4679833685302583	1.4679833685302583	1.4689833685302582	1.5139833685302582	0.3903955649414023	0.9987573003117727	0.6506592749023372	NaN
Initial_000000027	10368000.0	4.845744408975255	3.437390428436229	1.4971376551916797	1.4971376551916797	1.4981376551916796	1.5431376551916798	0.40958349867657223	0.6826391644609537	0.9418510670922969	NaN
Initial_000000028	10368000.0	7.194570292108332	9.009716791122123	1.4319676786417903	1.4319676786417903	1.4329676786417904	1.4779676786417904	0.2751059572728642	0.458509928788107	0.9136651564947	NaN
Initial_000000030	10368000.0	0.8262195048071241	5.591443456310224	1.1779679102686955	1.1779679102686955	1.1789679102686956	1.2239679102686956	0.05158958699727499	0.08598264499545832	0.9900853659423146	NaN
Initial_000000032	10368000.0	18.867589866850388	3.7082529133551265	1.3964600588760312	1.3964600588760312	1.3974600588760313	1.4424600588760312	0.4191817714411628	0.6986362857352714	0.7735889215977954	NaN
Initial_000000034	10368000.0	0.9479300092549103	6.712841406459985	1.463969108141476	1.463969108141476	1.464969108141476	1.5099691081414763	0.41531052092682247	0.6921842015447042	0.9886248398889411	NaN
